SizzleMel,Coffee or Pizza,40.736772*-74.000943,0
DJVictrola,Coffee or Pizza,40.84590112*-74.12783545,0
ShanteParadigm,Coffee or Pizza,40.65697147*-73.95991583,0
dansoonie,Coffee or Pizza,40.75104494*-73.97886784,0
frankdjr,Coffee or Pizza,40.6192277*-73.99015665,0
msheikhw,Coffee or Pizza,40.745911*-74.00536421,0
Darain2000,Coffee or Pizza,41.32162997*-73.26537296,0
boardinggroup1,Coffee or Pizza,40.76249994*-73.99698012,0
peterjwu,Coffee or Pizza,40.75361718*-73.9839585,0
karweeezy,Coffee or Pizza,40.73184425*-73.98386478,0
alohaakate,Coffee or Pizza,40.76249994*-73.99698012,0
MilesPointsWhiz,Coffee or Pizza,40.601017*-73.93887329,0
jabeblanchard,Coffee or Pizza,40.73493358*-74.0021199,0
madikarizma,Coffee or Pizza,40.75093077*-73.98313522,0
edmondchang,Coffee or Pizza,40.759445*-74.415939,0
jblaiberg,Coffee or Pizza,40.75379775*-73.98681521,0
Destro_88,Coffee or Pizza,41.105846*-73.4276572,0
4Mujju,Coffee or Pizza,40.752633*-73.992905,0
lauryndangelo,Coffee or Pizza,40.73678126*-73.98684525,0
dens,Coffee or Pizza,40.72535212*-73.99239421,0
BearSilber,Coffee or Pizza,40.7236214*-74.01037958,0
scott_goldblatt,Coffee or Pizza,40.758328*-73.985457,0
smooth_as_,Coffee or Pizza,40.76087875*-73.97313422,0
RockSteadyBee_,Coffee or Pizza,40.7285731*-74.0796059,0
octane31,Coffee or Pizza,40.743982*-74.006678,0
TeshawnEdmonds,Coffee or Pizza,40.67296847*-73.87084187,0
SizzleMel,Coffee or Pizza,40.736772*-74.000943,0
DJVictrola,Coffee or Pizza,40.84590112*-74.12783545,0
ShanteParadigm,Coffee or Pizza,40.65697147*-73.95991583,0
CarlaCCQuijada,Coffee or Pizza,40.74277821*-73.99833798,0
SizzleMel,Coffee or Pizza,40.736772*-74.000943,0
DJVictrola,Coffee or Pizza,40.84590112*-74.12783545,0
ShanteParadigm,Coffee or Pizza,40.65697147*-73.95991583,0
dansoonie,Coffee or Pizza,40.75104494*-73.97886784,0
frankdjr,Coffee or Pizza,40.6192277*-73.99015665,0
msheikhw,Coffee or Pizza,40.745911*-74.00536421,0
boardinggroup1,Coffee or Pizza,40.76249994*-73.99698012,0
peterjwu,Coffee or Pizza,40.75361718*-73.9839585,0
karweeezy,Coffee or Pizza,40.73184425*-73.98386478,0
alohaakate,Coffee or Pizza,40.76249994*-73.99698012,0
MilesPointsWhiz,Coffee or Pizza,40.601017*-73.93887329,0
jabeblanchard,Coffee or Pizza,40.73493358*-74.0021199,0
madikarizma,Coffee or Pizza,40.75093077*-73.98313522,0
edmondchang,Coffee or Pizza,40.759445*-74.415939,0
jblaiberg,Coffee or Pizza,40.75379775*-73.98681521,0
4Mujju,Coffee or Pizza,40.752633*-73.992905,0
lauryndangelo,Coffee or Pizza,40.73678126*-73.98684525,0
dens,Coffee or Pizza,40.72535212*-73.99239421,0
BearSilber,Coffee or Pizza,40.7236214*-74.01037958,0
scott_goldblatt,Coffee or Pizza,40.758328*-73.985457,0
smooth_as_,Coffee or Pizza,40.76087875*-73.97313422,0
RockSteadyBee_,Coffee or Pizza,40.7285731*-74.0796059,0
octane31,Coffee or Pizza,40.743982*-74.006678,0
TeshawnEdmonds,Coffee or Pizza,40.67296847*-73.87084187,0
DarnelleRadford,Coffee or Pizza,40.75934*-73.98613,0
crazedmom,Coffee or Pizza,40.69013592*-73.37640437,0
MrInIt2WinIt,Coffee or Pizza,40.67296847*-73.87084187,0
ChristinaMeyer,Coffee or Pizza,40.78171432*-73.94892374,0
icsedge1,Coffee or Pizza,40.79831449*-73.94084215,0
